dataset_index,data_uuid,data_name,view_count,download_count,description,update_frequency,data_owner,data_page_url,data_category,asset_type,view_type,size_in_bytes,readable_size,latest_update_time
14,27h8-t3wt,District Math Results - All,293,901,"New York City data and trends for state assessment results of math test for grades 3 through 8. Data’s disaggregated by district, by all students, ethnicity, economic status, gender, English language limited and students with disabilities.",One-time,NYC Department of Education,https://data.cityofnewyork.us/Education/2013-2017-District-Math-Results-All/27h8-t3wt,Education,dataset,tabular,87662.0,87.66 KB,2019-05-20
15,27x4-cbi6,Pregnancy-Associated Mortality,990,820,"Maternal mortality is widely considered an indicator of overall population health and the status of women in the population. DOHMH uses multiple methods including death certificates, vital records linkage, medical examiner records, and hospital discharge data to identify all pregnancy-associated deaths (deaths that occur during pregnancy or within a year of the end of pregnancy) in NYC each year. DOHMH convenes the Maternal Mortality and Morbidity Review Committee (M3RC), a multidisciplinary and diverse group of  40 members that conducts an in-depth, expert review of each maternal death in NYC from both a clinical and social determinants of health perspective. The data in this table come from vital records and the M3RC review process.",Annually,Department of Health and Mental Hygiene (DOHMH),https://data.cityofnewyork.us/Health/Pregnancy-Associated-Mortality/27x4-cbi6,Health,dataset,tabular,4674.0,4.67 KB,2021-07-13
16,28et-rv7b,Archivesspace Digital Objects,59,41,"Displays digital object(s) in table format. The data contains title, digital object identifier, object type, dates and the title and identifier of linked resources.",Monthly,Department of Records and Information Services (DORIS),https://data.cityofnewyork.us/City-Government/Archivesspace-Digital-Objects/28et-rv7b,City Government,dataset,tabular,1365.0,1.36 KB,2021-12-01
17,28rh-vpvr,Vehicles,2269,3386,"OPT maintains an inventory of all the vehicles used by contracted bus vendors in service to the Department of Education. The vehicles inventory can include school buses, ambulances or coach buses. This dataset details the active vehicle inventory for each bus vendor.  There are a variety of different vehicles used to serve students requiring curb-to-curb service because an Individualized Education Plan (IEP) indicates specific transportation needs. The standard bus is the only vehicle used for general education students eligible for bus service but who do not have an IEP.",One-time,NYC Department of Education,https://data.cityofnewyork.us/Transportation/Vehicles/28rh-vpvr,Transportation,dataset,tabular,54254.0,54.25 KB,2021-12-01
21,29fb-fum8,Appeals Closed In,245,120,"A list of all appeals closed by the Civil Service Commission in 2019. This list includes both Civil Service Law Section 50 Disqualification Appeals and Civil Service Law Section 76 Disciplinary Appeals.  The expiration dates listed here may not account for any extensions that have been granted. In particular, in response to the COVID-19 pandemic, the Department of Citywide Administrative Services (“DCAS”) extended multiple lists set to expire in 2020 and these extensions are not reflected here. For further information on list expiration dates  you may wish to consult DCAS whose website you can access here: http://www.nyc.gov/dcas.",One-time,Civil Service Commission,https://data.cityofnewyork.us/City-Government/Appeals-Closed-In-2019/29fb-fum8,City Government,dataset,tabular,154257.0,154.26 KB,2020-04-10
26,2a5f-5ryi,20 Demographic Snapshot - Borough,326,104,Student demographic and enrollment data by borough from 2015-16 through 2019-20. Enrollment counts are based on the October 31st Audited Register for each school year.,Annually,NYC Department of Education,https://data.cityofnewyork.us/Education/2019-20-Demographic-Snapshot-Borough/2a5f-5ryi,Education,dataset,tabular,6280.0,6.28 KB,2020-09-15
28,2a67-6eaq,Local Law 51 Fall Semester Final,61,24,"Local Law 51- Reporting on student-to-student bullying, harassment,  intimidation and discrimination.",Annually,NYC Department of Education,https://data.cityofnewyork.us/Education/Local-Law-51-Fall-Semester-Final/2a67-6eaq,Education,dataset,tabular,1072.0,1.07 KB,2021-10-18
29,2anc-iydk,16 Health Education HS Data - City Council District,140,226,"Local Law 14 (2016) requires that the NYCDOE provide citywide health education data, disaggregated by community school district, city council district ad each individual school.  Reports city council district level data on the number of students that received a semester (one credit) of health instruction, as well as the number of June & August graduates meeting the HS health requirements for the 2015-16 school year.  Note students are not required to receive health instruction at any particular grade level in high school, only prior to graduating.  Values less than 100% do not necessarily imply that students graduated without meeting credit requirements. These values may indicate missing or incomplete historical transcript data.",One-time,NYC Department of Education,https://data.cityofnewyork.us/Education/2015-16-Health-Education-HS-Data-City-Council-Dist/2anc-iydk,Education,dataset,tabular,2344.0,2.34 KB,2019-04-25
30,2ay5-tqqe,Local Law 14 Health Data - MS District,144,237,"Local Law 14 (2016) requires that the NYCDOE provide citywide Health Education data, disaggregated by community school district, city council district, and each individual school. Data reported in this report is from the 2015-16 school year.This report provides information about the number and percent of students receiving one semester of health education as defined in Local Law 14 as reported through the 2015-2016 STARS database.",One-time,NYC Department of Education,https://data.cityofnewyork.us/Education/2015-2016-Local-Law-14-Health-Data-MS-District/2ay5-tqqe,Education,dataset,tabular,1626.0,1.63 KB,2019-04-02
31,2bef-phhy,Computer Science Report,386,397,"New York City Department of Education 2016 - 2017 Computer Science Report , Local Law 177 enacted in 2016 requires the Department of Education of the New York City School District to submit to the Council an annual report concerning computer science education for the prior school year.      This report provides information about the number of computer science programs offered and the number of students enrolled in those programs as defined in Local Law 177 as reported through the 2016-2017 STARS database. It is important to note that schools self-report their computer science course information in STARS. This report also includes information regarding the number and ratio of certified STEM instructors, the department's STEM Institute, the nature of the district's computer science initiatives and the total available bandwidth in each school.",One-time,NYC Department of Education,https://data.cityofnewyork.us/Education/2016-2017-Computer-Science-Report/2bef-phhy,Education,dataset,tabular,18607.0,18.61 KB,2019-04-25
32,2bh6-qmgg,Math Test Results - Citywide - Gender,630,1854,Latest available data and trends in the state assessment results of math for grades 3 through 8. Data are disaggregated by gender.,One-time,NYC Department of Education,https://data.cityofnewyork.us/Education/2006-2012-Math-Test-Results-Citywide-Gender/2bh6-qmgg,Education,dataset,tabular,7610.0,7.61 KB,2013-02-21
33,2bmr-jdsv,FHV Base Aggregate Report - Historical,976,1187,"Monthly report including weekly total dispatched trips and unique dispatched vehicles by base tabulated from FHV Trip Record submissions made by bases. For the currentl list, please refer to <a href=""https://data.cityofnewyork.us/d/2v9c-2k7f"">this dataset</a>",One-time,Taxi and Limousine Commission (TLC),https://data.cityofnewyork.us/Transportation/FHV-Base-Aggregate-Report-Historical/2bmr-jdsv,Transportation,dataset,tabular,10138702.0,10.14 MB,2018-11-05
35,2bs8-z87y,Physical Education Instruction - School Level,84,34,Local Law 102 enacted in 2015 requires the Department of Education of the New York City School District to submit to the Council an annual report concerning physical education for the prior school year.     This report provides information about average frequency and average total minutes per week of physical education as defined in Local Law 102 as reported through the 2017-18 STARS database. It is important to note that schools self-report their scheduling information in STARS. The report also includes information regarding the number and ratio of certified physical education instructors and designated physical education instructional space.,Annually,NYC Department of Education,https://data.cityofnewyork.us/Education/2017-2018-Physical-Education-Instruction-School-Le/2bs8-z87y,Education,dataset,tabular,5497841.0,5.5 MB,2020-12-22
36,2bsr-c6qq,Universal Solicitation for Broadband Asset Dataset,2972,323,"List of existing City and City Partner assets for the Universal Solicitation of Broadband (USB).  <b>Data Limitations:</b> Data accuracy is limited as of the date of publication and by the methodology and accuracy of the original sources. The City shall not be liable for any costs related to, or in reliance of, the data contained in these datasets.",Annually,Mayor's Office of the Chief Technology Officer (MOCTO),https://data.cityofnewyork.us/City-Government/Universal-Solicitation-for-Broadband-Asset-Dataset/2bsr-c6qq,City Government,dataset,tabular,23819044.0,23.82 MB,2021-03-12
37,2bvn-ky2h,Verified Locations for NYC City-Funded Social Service Contracts - Contracts,150,57,City's contracts for social services.,One-time,The Department of Social Services,https://data.cityofnewyork.us/City-Government/Verified-Locations-for-NYC-City-Funded-Social-Serv/2bvn-ky2h,City Government,dataset,tabular,543122.0,543.12 KB,2021-05-13
38,2c9f-2ta9,Financial Services for NYCHA Residents by Borough - Local Law 163,106,57,"This datasets contains information about NYCHA residents’ use of:  a) <a href=""https://www1.nyc.gov/site/dca/consumers/get-free-financial-counseling.page"">NYC Financial Empowerment Centers</a>: a program that provides free, one-on-one professional financial counseling and coaching to all NYC residents. Each row in the dataset represents the number of NYCHA residents on a Borough-level who utilized this service;  b) <a href=""https://www1.nyc.gov/site/dca/partners/EmpoweredNYC.page"">EmpoweredNYC</a>: is an initiative to assist New Yorkers with disabilities and their families to better manage their finances and become more financially stable. Each row in the dataset represents the number of NYCHA residents on a Borough-level who utilized this service;   c) <a href=""https://www1.nyc.gov/site/dca/media/pr012618.page"">Student Loan Debt clinic</a>: is an initiative to help New Yorkers understand their student loans and how to repay them. Each row in the dataset represents the number of NYCHA residents on a Borough-level who utilized this service; and   d) <a href=""https://www1.nyc.gov/site/hpd/renters/ready-to-rent.page"">Ready to Rent</a>: a program providing free one-on-one financial counseling to New Yorkers seeking to apply for affordable housing units through HPD’s Housing Connect lottery. Each row in the dataset represents the number of NYCHA residents on a Borough-level who utilized this service.  The dataset is part of the annual report compiled by the Mayor’s Office of Operations as mandated by the <a href=""https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=2745761&GUID=2A9FB1D2-A1A8-4484-9D49-6F8332171B66"">Local Law 163 of 2016</a> on different services provided to NYCHA residents. See other datasets in this report by searching the keyword “Services available to NYCHA Residents - Local Law 163 (2016)” on the Open Data Portal.",Annually,Department of Consumer Affairs (DCA),https://data.cityofnewyork.us/City-Government/Financial-Services-for-NYCHA-Residents-by-Borough-/2c9f-2ta9,City Government,dataset,tabular,1913.0,1.91 KB,2020-12-09
39,2cav-chmn,Street Pavement Rating,7541,1878,"The New York City Department of Transportation is responsible for keeping the City's streets in good repair. The Agency performs ongoing assessment of New York City streets. Ratings are based on a scale from 1 to 10, and results are grouped in the following categories: Good (%) - ratings of 8 to 10, Fair (%) - ratings of 4 to 7, and Poor (%) - ratings of 1 to 3. This data will allow you to create a map.",Monthly,Department of Transportation (DOT),https://data.cityofnewyork.us/Transportation/Street-Pavement-Rating/2cav-chmn,Transportation,map,geo,36219719.0,36.22 MB,2021-11-10
41,2cmn-uidm,Capital Commitment Plan,1827,750,"This dataset contains capital commitment plan data by project type, budget line and source of funds.  The dollar values are in thousands.  The dataset is updated three times per year in Preliminary, Executive and Adopted Budget to match commitment numbers in the Capital Commitment Plan publication.",Annually,Mayor's Office of Management and Budget (OMB),https://data.cityofnewyork.us/City-Government/Capital-Commitment-Plan/2cmn-uidm,City Government,dataset,tabular,3612025.0,3.61 MB,2021-10-25
43,2de2-6x2h,Bi-Annual Pedestrian Counts,16372,1741,"An index of pedestrian volumes tracking the long-term trends of neighborhood commercial corridors. Data is collected at 114 locations, including 100 on-street locations (primarily retail corridors), 13 East River and Harlem River bridge locations, and the Hudson River Greenway. Screenline sampling is conducted during May and September on the sidewalk, mid-block (or mid-bridge) on both sides of street where applicable. Pedestrian volumes at 50 sample locations around the City are combined to create the Pedestrian Volume Index for the Mayor’s Management Report.   Click here for metadata - http://www.nyc.gov/html/dot/downloads/pdf/bi-annual-ped-count-readme.pdf",Annually,Department of Transportation (DOT),https://data.cityofnewyork.us/Transportation/Bi-Annual-Pedestrian-Counts/2de2-6x2h,Transportation,map,geo,227888.0,227.89 KB,2021-09-08
44,2dzy-e7cu,Health Education Report,344,267,"New York City Department of Education 2016 - 2017 Health Education Report. Local Law 14 (2016) requires that the NYCDOE provide citywide Health Education data, disaggregated by community school district, city council district, and each individual school. Data reported in this report is from the 2016-17 school year. This report provides information about the number and percent of students scheduled for at least one semester of health education as defined in Local Law 14 as reported through the STARS database. It is important to note that schools self-report their scheduling information in STARS.",One-time,NYC Department of Education,https://data.cityofnewyork.us/Education/2016-2017-Health-Education-Report/2dzy-e7cu,Education,dataset,tabular,38999.0,39 KB,2019-04-25
45,2ei9-vg68,NYCHA Application Priority Codes,14675,1973,Priority codes assigned to applicants by NYCHA,Annually,NYC Housing Authority (NYCHA),https://data.cityofnewyork.us/Housing-Development/NYCHA-Application-Priority-Codes/2ei9-vg68,Housing & Development,dataset,tabular,3629.0,3.63 KB,2013-06-21
47,2eq2-trdu,Directory Of Competitive Bid,1419,1647,"This table displays currently advertised projects (type of work), estimated range ($) for project completion, bid date, time and projects description along with Project ID. It also provides link to plan holders information.",One-time,Department of Design and Construction (DDC),https://data.cityofnewyork.us/Housing-Development/Directory-Of-Competitive-Bid/2eq2-trdu,Housing & Development,dataset,tabular,4125.0,4.12 KB,2013-06-21
48,2ewp-sa7t,English Language Arts  Test Results Borough - All/SWD/Ethnicity/Gender/Economic Status/ELL,111,41,"In 2018, NYSED rescaled the Math and ELA exams to account for a change in test administration from 3 days to 2 days. Therefore, 2018 and 2019 results can be compared to each other but cannot be compared to prior years.   Starting in 2013, NYSED changed the exams to be Common Core aligned.  In order to comply with regulations of the Family Educational Rights and Privacy Act (FERPA) on public reporting of education outcomes,  groups with 5 or fewer tested students are suppressed with an “s”.",One-time,NYC Department of Education,https://data.cityofnewyork.us/Education/2013-2019-English-Language-Arts-ELA-Test-Results-B/2ewp-sa7t,Education,dataset,tabular,21966.0,21.97 KB,2020-12-31
49,2fpa-bnsx,Facilities Database - Shapefile,8855,3466,"The City Planning Facilities Database (FacDB) aggregates information about 35,000+ public and private facilities and program sites that are owned, operated, funded, licensed or certified by a City, State, or Federal agency in the City of New York. It captures facilities that generally help to shape quality of life in the city’s neighborhoods, including schools, day cares, parks, libraries, public safety services, youth programs, community centers, health clinics, workforce development programs, transitional housing, and solid waste and transportation infrastructure sites. To facilitate analysis and mapping, the data is available in coma-separated values (CSV) file format, ESRI Shapefile, and GeoJSon. The data is also complemented with a new interactive web map that enables users to easily filter the data for their needs. Users are strongly encouraged to read the database documentation, particularly with regard to analytical limitations.  For data dictionary, please follow <a href=""http://docs.capitalplanning.nyc/facdb/"">this link</a>  All previously released versions of this data are available at <a href=""https://www1.nyc.gov/site/planning/data-maps/open-data/bytes-archive.page?sorts[year]=0"">BYTES of the BIG APPLE- Archive</a>",One-time,Department of City Planning (DCP),https://data.cityofnewyork.us/City-Government/Facilities-Database-Shapefile/2fpa-bnsx,City Government,map,geo,34603259.0,34.6 MB,2021-09-09
51,2gcj-p28u,Local Law 15 K-12 Health Data - Health Instructor,168,173,"Local Law 15 (2016) requires that the NYCDOE provide citywide Health Education Instructor data, disaggregated by community school district, city council district, and each individual school Data reported in this report is from the 2016-17 school year. This report provides the number of licensed full- time and part-time instructors, the number of instructors assigned to teach at least one health education class, the number and percentage of instructors who received professional development training and the total number and percentage of instructors attending multiple sessions of professional development. Data is reported from the 2016-17 school year.",One-time,NYC Department of Education,https://data.cityofnewyork.us/Education/2016-2017-Local-Law-15-K-12-Health-Data-Health-Ins/2gcj-p28u,Education,dataset,tabular,59442.0,59.44 KB,2019-07-01
54,2hrw-qfsu,Detention Admissions by Community District,196,61,This dataset captures counts of youth entering detention in a calendar year by their home borough and community district. Each line of the data is the count of youth admitted to detention from a borough/community district. The data a drawn from the Juvenile Detention Automated System (JDAS) annually. The data are geocoded. There is always a small number of records for which the home bough and/or community district cannot be determined.,Annually,Administration for Children's Services (ACS),https://data.cityofnewyork.us/Social-Services/Detention-Admissions-by-Community-District/2hrw-qfsu,Social Services,dataset,tabular,5269.0,5.27 KB,2021-03-29
55,2ic6-4hrf,SCHOOL LEVEL CLASS SIZE REPORT,278,223,"Average class sizes for each school, by grade and program type (General Education, Self-Contained Special Education, Collaborative Team Teaching (CTT)) for grades K-9 (where grade 9 is not reported by subject area).",One-time,NYC Department of Education,https://data.cityofnewyork.us/Education/2017-2018-SCHOOL-LEVEL-CLASS-SIZE-REPORT/2ic6-4hrf,Education,dataset,tabular,676656.0,676.66 KB,2019-04-03
56,2ith-35wn,Discharge Reporting by SWD - MS,70,39,"This report provides data regarding students enrolled in New York City schools during the 2015-2016 school year, according to the guidelines set by Local Law 2011/042. At the citywide, borough and district levels, the DOE is required to report discharge, transfer and graduation counts by grade level (middle school only), cohort (high school only) and disability status. At the school level, the DOE is required to report discharge and transfer counts by grade level (middle school only), cohort (high school only), disability status broken down by, age as of 12/31 of the previous calendar year age, race/ethnicity, and gender. Citywide, Borough, and District results represent the last discharge or transfer for each student. School level results represent all events for all students. District 79 programs are included in the Citywide, Borough and District results, but not shown in the school-level spreadsheets.",Annually,NYC Department of Education,https://data.cityofnewyork.us/Education/2016-2017-Discharge-Reporting-by-SWD-MS/2ith-35wn,Education,dataset,tabular,11662.0,11.66 KB,2021-01-01
58,2jg5-6hqv,School Year Local Law 226 Report for the Demographics of School Staff - Ethnicity,749,111,"This report is prepared pursuant to Local Law 226 of 2019 regarding the demographics of school staff in New York City public schools.  The law specifies the reporting of demographics (gender and race or ethnicity) for schools staff in three categories:  teaching staff, leadership staff, and other professional and paraprofessional staff.  Consistent with the law, the data is further disaggregated to show length of experience in the school and length of experience in the title.  The data is shown for each school and aggregated for each community school district,  by borough, and citywide.  The following additional notes apply:",One-time,NYC Department of Education,https://data.cityofnewyork.us/Education/2019-2020-School-Year-Local-Law-226-Report-for-the/2jg5-6hqv,Education,dataset,tabular,217021.0,217.02 KB,2020-12-12
60,2jj7-gj6x,Hurricane Inundation Zones NNW,251,422,"Worst case hurricane surge inundation areas for category 1 through 4 hurricanes, based on the bearing of the storm. The bearing is the direction towards which the storm is moving. These inundation areas are based on the National Hurricane Center's 2010 SLOSH (Sea Lake and Overland Surge from Hurricanes) Model for the NY3 basin.  The zones are created with the assumption that the storm surge will hit at high tide, which is assumed to be 2 feet for the entire region.",One-time,Office of Emergency Management (OEM),https://data.cityofnewyork.us/Public-Safety/Hurricane-Inundation-Zones-NNW/2jj7-gj6x,Public Safety,map,geo,96134123.0,96.13 MB,2016-01-15
61,2jne-kr3f,School Closure Discharge Reporting - Attendance,179,875,"In June 2015, 18 New York City public schools closed for poor performance.  This report provides data regarding students enrolled in these schools during the 2014-2015 school year, according to the guidelines set by Local Law 2011/043",One-time,NYC Department of Education,https://data.cityofnewyork.us/Education/2014-2015-School-Closure-Discharge-Reporting-Atten/2jne-kr3f,Education,dataset,tabular,404825.0,404.82 KB,2017-08-11
63,2jvr-j6ne,Parks Inspection Program – Element Tracking,302,806,"This dataset contains additional items that are counted, and in some cases evaluated during a property inspection. Examples include signs, flags and drinking fountains. Each row represents a single observation.  A complete list of all datasets in the series can be found <a href=""https://data.cityofnewyork.us/browse?Data-Collection_Data-Collection=Parks%20Inspection%20Program%20(PIP)&sortBy=alpha"">here</a>.",Monthly,Department of Parks and Recreation (DPR),https://data.cityofnewyork.us/City-Government/Parks-Inspection-Program-Element-Tracking/2jvr-j6ne,City Government,dataset,tabular,23126665.0,23.13 MB,2021-12-02
64,2k3g-r445,DCA Fines and Fees,2743,1620,"All fees charged by DCA for services and, all fines issued by an administrative judge resulting from violations.",Monthly,Department of Consumer Affairs (DCA),https://data.cityofnewyork.us/Business/DCA-Fines-and-Fees/2k3g-r445,Business,dataset,tabular,365816439.0,365.82 MB,2020-07-10
66,2knz-3yg6,Department for the Aging  Reported Line Item Expenditures by Month of Legal Services Contracted Providers,121,425,Reported Expenditures of Line Items by Month of registered and contracted agencies providing Legal Services.,Monthly,Department for the Aging (DFTA),https://data.cityofnewyork.us/Social-Services/Department-for-the-Aging-DFTA-Reported-Line-Item-E/2knz-3yg6,Social Services,dataset,tabular,58427.0,58.43 KB,2020-10-28
67,2mhq-um7h,City Owned and Leased Property  – Shapefile,3280,1045,"Geodatabase of city-owned and leased properties and uses. COLP is a comprehensive list of uses on city owned and leased properties that includes geographic information as well as the type of use, agency and other related information.  All previously released versions of this data are available at <a href=""https://www1.nyc.gov/site/planning/data-maps/open-data/bytes-archive.page?sorts[year]=0"">BYTES of the BIG APPLE- Archive</a>",Annually,Department of City Planning (DCP),https://data.cityofnewyork.us/City-Government/City-Owned-and-Leased-Property-COLP-Shapefile/2mhq-um7h,City Government,map,geo,12033438.0,12.03 MB,2021-06-23
68,2mqz-v5im,Local Law 37 - DHS Report,2759,954,"The DHS Local Law 37 report provides aggregate information on individuals and families that utilize DHS services including data on length of stay and shelter applications.  For DYCD Report please follow <a href=""https://data.cityofnewyork.us/Social-Services/Local-Law-37-of-2011-DYCD/2232-dj5q"">this link</a>. For HPD Report please follow <a href=""https://data.cityofnewyork.us/Housing-Development/Local-Law-37-HPD-Monthly-Shelter-Census-Report/mdht-5s6e"">this link</a>. For HRA Report please follow <a href=""https://data.cityofnewyork.us/Social-Services/Local-Law-37-Report/e4ty-r26d""> this link</a>.",Monthly,Department of Homeless Services (DHS),https://data.cityofnewyork.us/Social-Services/Local-Law-37-DHS-Report/2mqz-v5im,Social Services,dataset,tabular,78561.0,78.56 KB,2021-12-01
69,2mvk-c2ha,19 Guidance Counselor Report - Social Worker,89,45,"New York City Department of Education 2018 - 19 Guidance Counselor Bill Demographic Data by district, borough, school number, school name, and  school level,  providing statistics for full time, part time, bilingual social workers and if they are serving more than one location.",Annually,NYC Department of Education,https://data.cityofnewyork.us/Education/2018-19-Guidance-Counselor-Report-Social-Worker/2mvk-c2ha,Education,dataset,tabular,163790.0,163.79 KB,2020-12-09
70,2n4x-d97d,NYC Taxi and Limousine Commission authorized Dispatch Service Providers,6428,1929,A Dispatch Service Provider (DSP) can dispatch trips on behalf of the FHV (For-Hire-Vehicle) Base.,One-time,Taxi and Limousine Commission (TLC),https://data.cityofnewyork.us/Transportation/NYC-Taxi-and-Limousine-Commission-authorized-Dispa/2n4x-d97d,Transportation,dataset,tabular,615.0,615 bytes,2017-09-14
72,2nj7-jxah,VZV_Priority Intersections,886,440,"The intersections with the highest number of pedestrian KSI (killed and severely injured) that cumulatively account for 15% of the borough’s total pedestrian KSI. Developed as part of the Borough Pedestrian Safety Action Plans.  For a complete list of Vision Zero maps, please follow <a href=""https://data.cityofnewyork.us/browse?q=vzv&sortBy=last_modified&utf8=%E2%9C%93"">this link</a>",Monthly,Department of Transportation (DOT),https://data.cityofnewyork.us/Transportation/VZV_Priority-Intersections/2nj7-jxah,Transportation,map,geo,65960.0,65.96 KB,2021-12-01
